 ;00 a 04;05 a 09;10 a 14;15 a 19;20 a 29;30 a 39;40 a 49;50 a 59;60 a 69;70 a 79;80 ou mais;Idade ignorada; ; ;POPULAÇÃO MUNDIAL;POPULAÇÃO BRASIL
;;;;;;;;;;;;;;;;
Alagoas;0;0;0,06;0,25;1,66;6,63;22,01;48,9;87,87;152,93;230,34;0;19,54;14;21,17;22,77
Bahia;0,03;0,02;0,06;0,2;0,97;6,38;19,83;44,84;87,6;137,93;234,15;0;21,18;16;19,98;21,48
Ceará;0,03;0;0,05;0,17;1,22;7,42;22,58;60,01;126,54;225,86;369,76;0;30,02;10;28,55;30,81
Maranhão;0,03;0,03;0,16;0,18;1,29;8,27;22,09;47,02;92,95;163,92;215,27;0;18,3;8;21,7;23,23
Paraíba;0,06;0;0,11;0,43;1,34;6,55;20,25;47,24;100,81;170,54;297,12;0;25,6;12;22,88;24,72
Pernambuco;0;0,03;0,02;0,27;1,44;7,9;23,66;57,53;116,13;196,1;341,26;0;28,2;13;26,65;28,79
Piauí;0;0;0;0,28;1,59;8,73;21,92;48,97;109,43;192,6;346,87;0;25,66;9;25,27;27,47
Rio Grande do Norte;0,15;0;0;0,34;1,16;6,7;20,78;57,29;117,09;203,03;320,29;0;28,2;11;26,18;28,13
Sergipe;0;0;0;0,19;1,36;9,81;23,31;59,88;109,82;178,79;317,16;0;24,28;15;25,82;27,93
