LOCALIDADE,-,-,-,-,-,-,TAXAS ESPECIFICAS,-,-,-,-,-,TAXA BRUTA,-,-,-
-,00 a 04,05 a 09,10 a 14,15 a 19,20 a 29,30 a 39,40 a 49,50 a 59,60 a 69,70 a 79,80 ou mais,Idade ignorada,Taxa Bruta,Classificação,Pop. Mundial(1),Pop. Brasil(2)
Alagoas,0,0,"0,06","0,25","1,66","6,6","22,11","51,52","106,71","214,23","427,25",0,"24,68",8,"26,54","29,21"
Bahia,"0,03","0,02","0,06","0,2","1,01","6,34","19,85","47,91","111,81","219,58","476,45",0,"29,24",7,"26,82","29,65"
Ceará,"0,03",0,"0,05","0,17","1,23","7,45","22,49","62,02","141,77","295,95","605,43",0,"36,99",1,"34,25","37,85"
Maranhão,"0,03","0,03","0,19","0,18","1,32","8,25","22,15","49,59","111,7","235,01","422,85",0,"23,57",4,"27,46","30,15"
Paraíba,"0,06",0,0,"0,43","1,34","6,55","20,58","50,01","118,84","238,67","532,27",0,"33,41",2,"28,82","31,96"
Pernambuco,0,"0,03","0,02","0,25","1,46","7,85","23,68","60,59","135,55","277,03","588,48",0,"35,78",5,"33,18","36,72"
Piauí,0,0,0,"0,28","1,63","8,51","21,71","51,17","130,12","268,96","613,7",0,"32,79",3,"31,83","35,48"
Rio Grande do Norte,"0,15",0,0,"0,34","1,31","6,74","20,92","59,53","132,87","276,6","566,34",0,"35,78",6,"32,17","35,53"
Sergipe,0,0,0,"0,19",31;9,"9,75","23,09","63,72","129,02","270,36","586,55",0,"31,1",,"32,91","36,57"
