Taxas de mortalidade pelas topografias selecionadas*, brutas e ajustadas por idade, pelas populações mundial e brasileira de 2010, por 100.000 homens e mulheres, na região Nordeste, entre 2015 e 2019.

LOCALIDADE;TAXAS ESPECIFICAS;;;;;;;;;;;;;;;;;;TAXA BRUTA;CLASSIFICACAO;TAXAS PADRONIZADAS
 ;00 a 04;05 a 09;10 a 14;15 a 19;20 a 29;30 a 39;40 a 49;50 a 59;60 a 69;70 a 79;80 ou mais;Idade ignorada; ; ;POPULAÇÃO MUNDIAL;POPULAÇÃO BRASIL;

Alagoas;0,00;0,00;0,06;0,25;1,66;6,60;22,11;51,52;106,71;214,23;427,25;0,00;24,68;14;26,54;29,21;
Bahia;0,03;0,02;0,06;0,20;1,01;6,34;19,85;47,91;111,81;219,58;476,45;0,00;29,24;16;26,82;29,65;
Ceará;0,03;0,00;0,05;0,17;1,23;7,45;22,49;62,02;141,77;295,95;605,43;0,00;36,99;10;34,25;37,85;
Maranhão;0,03;0,03;0,19;0,18;1,32;8,25;22,15;49,59;111,70;235,01;422,85;0,00;23,57;8;27,46;30,15;
Paraíba;0,06;0,00;0,00;0,43;1,34;6,55;20,58;50,01;118,84;238,67;532,27;0,00;33,41;12;28,82;31,96;
Pernambuco;0,00;0,03;0,02;0,25;1,46;7,85;23,68;60,59;135,55;277,03;588,48;0,00;35,78;13;33,18;36,72;
Piauí;0,00;0,00;0,00;0,28;1,63;8,51;21,71;51,17;130,12;268,96;613,70;0,00;32,79;9;31,83;35,48;
Rio Grande do Norte;0,15;0,00;0,00;0,34;1,16;6,74;20,92;59,53;132,87;276,60;566,34;0,00;35,78;11;32,17;35,53;
Sergipe;0,00;0,00;0,00;0,19;1,31;9,75;23,09;63,72;129,02;270,36;586,55;0,00;31,10;15;32,91;36,57;
